# Simulation 1 (Up to date)
# 1008 data points written for 16 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Lateral velocity (ft/s),Lateral acceleration (G),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
21.891,10851,132.38,-1.0208,132.98,1.0208,12.574,0.0070136,6631973,0,5.6315,0.44112,0.44134,0.32963,0.052523,0.058964
21.941,10857,130.74,-1.0204,131.34,1.0204,12.564,0.0055837,6548137,0,5.4926,0.44141,0.44148,0.32996,0.052511,0.058938
21.991,10864,129.1,-1.0199,129.71,1.0199,12.555,0.0055886,6467782,0,5.3628,0.44169,0.44177,0.33028,0.0525,0.058915
22.041,10870,127.46,-1.0195,128.07,1.0195,12.547,0.0041705,6383816,0,5.2279,0.44199,0.44199,0.33061,0.052489,0.05889
22.091,10877,125.82,-1.0189,126.44,1.0189,12.54,0.0045596,6304536,0,5.1031,0.44228,0.4423,0.33094,0.052479,0.058867
22.141,10883,124.18,-1.0186,124.81,1.0186,12.533,0.0033627,6221014,0,4.9728,0.44259,0.4426,0.33128,0.052468,0.058843
22.191,10889,122.54,-1.0181,123.18,1.0182,12.529,0.0027293,6138981,0,4.847,0.4429,0.44294,0.33163,0.052457,0.05882
22.241,10895,120.9,-1.0177,121.55,1.0177,12.525,0.0020955,6056923,0,4.7229,0.44322,0.44332,0.33198,0.052447,0.058797
22.291,10901,119.27,-1.0174,119.92,1.0174,12.522,9.7763e-4,5973485,0,4.5994,0.44355,0.44382,0.33234,0.052436,0.058774
22.341,10907,117.63,-1.0171,118.29,1.0171,12.521,3.4418e-5,5890312,0,4.4786,0.44388,0.44439,0.3327,0.052426,0.058752
22.391,10913,115.99,-1.0165,116.67,1.0165,12.521,4.081e-4,5811094,0,4.3617,0.44421,0.44462,0.33306,0.052416,0.05873
22.441,10919,114.36,-1.0159,115.04,1.0159,12.52,9.8147e-4,5732412,0,4.2469,0.44453,0.44482,0.33342,0.052406,0.05871
22.491,10924,112.72,-1.0153,113.42,1.0153,12.518,0.0017194,5654416,0,4.1344,0.44486,0.44502,0.33378,0.052397,0.058689
22.541,10930,111.09,-1.0149,111.79,1.0149,12.515,0.0012686,5572742,0,4.0203,0.44522,0.44545,0.33416,0.052387,0.058668
22.591,10935,109.46,-1.0146,110.17,1.0146,12.514,3.9315e-4,5489650,0,3.907,0.44559,0.44605,0.33456,0.052378,0.058647
22.641,10941,107.83,-1.0141,108.55,1.0141,12.513,5.6364e-4,5409894,0,3.7974,0.44595,0.44637,0.33495,0.052369,0.058627
22.691,10946,106.2,-1.0136,106.93,1.0136,12.512,7.4243e-4,5330215,0,3.6895,0.44631,0.44669,0.33535,0.05236,0.058607
22.741,10952,104.57,-1.0129,105.31,1.0129,12.51,0.0020666,5254766,0,3.5868,0.44667,0.44676,0.33573,0.052351,0.058589
22.791,10957,102.94,-1.0125,103.69,1.0125,12.507,0.0022587,5175427,0,3.4824,0.44705,0.44711,0.33613,0.052343,0.05857
22.841,10962,101.31,-1.0121,102.08,1.0121,12.503,0.0020504,5094566,0,3.378,0.44744,0.44753,0.33656,0.052334,0.058551
22.891,10967,99.681,-1.0117,100.46,1.0117,12.5,0.0018729,5013806,0,3.2752,0.44785,0.44796,0.33699,0.052325,0.058532
22.941,10972,98.053,-1.0113,98.847,1.0113,12.497,0.0013631,4931661,0,3.1729,0.44827,0.44849,0.33744,0.052317,0.058513
22.991,10977,96.427,-1.0108,97.233,1.0108,12.495,0.0017013,4852987,0,3.075,0.44868,0.44882,0.33787,0.052308,0.058496
23.041,10981,94.801,-1.0103,95.621,1.0103,12.492,0.002517,4776599,0,2.9812,0.44909,0.4491,0.33831,0.052301,0.058479
23.091,10986,93.176,-1.0097,94.009,1.0097,12.487,0.0031344,4699650,0,2.8888,0.44951,0.44951,0.33875,0.052293,0.058462
23.141,10991,91.552,-1.0093,92.399,1.0093,12.482,0.0033289,4620836,0,2.7959,0.44995,0.44998,0.33922,0.052285,0.058445
23.191,10995,89.929,-1.0089,90.79,1.0089,12.476,0.0032162,4540557,0,2.7026,0.4504,0.45043,0.3397,0.052277,0.058428
23.241,11000,88.306,-1.0085,89.183,1.0085,12.471,0.0031421,4460473,0,2.6111,0.45087,0.4509,0.34019,0.05227,0.058411
23.291,11004,86.684,-1.0082,87.576,1.0082,12.467,0.0028249,4379090,0,2.5195,0.45136,0.45137,0.3407,0.052262,0.058394
23.341,11008,85.062,-1.0078,85.97,1.0078,12.462,0.0031499,4301170,0,2.4337,0.45184,0.45189,0.3412,0.052255,0.058379
23.391,11013,83.442,-1.0075,84.366,1.0075,12.457,0.0027222,4219109,0,2.3444,0.45235,0.45236,0.34174,0.052248,0.058362
23.441,11017,81.821,-1.007,82.763,1.007,12.452,0.0033793,4143251,0,2.2642,0.45284,0.45299,0.34225,0.052241,0.058348
23.491,11021,80.202,-1.0066,81.162,1.0066,12.447,0.0035158,4064521,0,2.1821,0.45336,0.4536,0.3428,0.052234,0.058333
23.541,11025,78.583,-1.0062,79.561,1.0062,12.441,0.0037437,3986420,0,2.1024,0.45389,0.45428,0.34335,0.052227,0.058318
23.591,11029,76.964,-1.0058,77.962,1.0058,12.435,0.003768,3907155,0,2.0226,0.45444,0.45491,0.34392,0.052221,0.058304
23.641,11032,75.346,-1.0055,76.365,1.0055,12.429,0.0039636,3829028,0,1.946,0.455,0.45568,0.3445,0.052214,0.05829
23.691,11036,73.729,-1.0052,74.768,1.0052,12.422,0.0035063,3746691,0,1.8649,0.45561,0.45607,0.34512,0.052208,0.058275
23.741,11040,72.112,-1.0048,73.173,1.0048,12.417,0.0038208,3669457,0,1.7925,0.45619,0.45698,0.34573,0.052201,0.058262
23.791,11043,70.496,-1.0044,71.58,1.0044,12.41,0.0044866,3594792,0,1.7258,0.45677,0.45839,0.34632,0.052196,0.058249
23.841,11047,68.881,-1.0041,69.988,1.0041,12.403,0.0040121,3512312,0,1.6487,0.45743,0.4587,0.347,0.052189,0.058235
23.891,11050,67.266,-1.0038,68.398,1.0038,12.397,0.0041102,3433858,0,1.5793,0.45807,0.45966,0.34767,0.052184,0.058223
23.941,11054,65.651,-1.0035,66.81,1.0035,12.39,0.0041927,3355363,0,1.5114,0.45874,0.46068,0.34835,0.052178,0.05821
23.991,11057,64.037,-1.003,65.223,1.0031,12.383,0.0049031,3281762,0,1.4527,0.45938,0.46286,0.34901,0.052173,0.058199
24.041,11060,62.424,-1.0026,63.638,1.0027,12.374,0.0053845,3206659,0,1.3936,0.46006,0.46503,0.3497,0.052168,0.058188
24.091,11063,60.811,-1.0021,62.056,1.0021,12.365,0.0067246,3138467,0,1.3489,0.46069,0.46986,0.35035,0.052163,0.058177
24.141,11066,59.2,-1.0017,60.475,1.0017,12.353,0.0072069,3063961,0,1.2946,0.4614,0.4731,0.35108,0.052158,0.058167
24.191,11069,57.588,-1.0012,58.896,1.0012,12.341,0.0083664,2995052,0,1.2549,0.46282,0.47993,0.35251,0.052154,0.058157
24.241,11072,55.978,-1.0007,57.319,1.0007,12.327,0.0095198,2926491,0,1.2177,0.46428,0.48774,0.35398,0.052149,0.058147
24.291,11075,54.369,-1.0004,55.745,1.0005,12.311,0.0095747,2849536,0,1.1645,0.46597,0.49193,0.35569,0.052144,0.058137
24.341,11077,52.759,-1.0002,54.173,1.0003,12.296,0.0092146,2769252,0,1.1059,0.46779,0.49462,0.35753,0.05214,0.058127
24.391,11080,51.151,-0.99999,52.604,1,12.281,0.0092313,2692149,0,1.0549,0.46961,0.4992,0.35936,0.052135,0.058117
24.441,11082,49.542,-0.99957,51.038,0.99963,12.266,0.010052,2622246,0,1.019,0.47132,0.50822,0.36108,0.052131,0.058108
24.491,11085,47.934,-0.99919,49.475,0.99924,12.249,0.010732,2551529,0,0.98226,0.4731,0.5174,0.36288,0.052127,0.058099
24.541,11087,46.327,-0.99864,47.915,0.99872,12.231,0.012121,2487581,0,0.95883,0.47477,0.53134,0.36456,0.052124,0.058092
24.591,11089,44.721,-0.99812,46.358,0.99821,12.21,0.013394,2423196,0,0.93421,0.47651,0.54554,0.36631,0.05212,0.058084
24.641,11092,43.116,-0.99771,44.806,0.99781,12.188,0.014107,2354368,0,0.90108,0.47844,0.55739,0.36825,0.052117,0.058077
24.691,11094,41.511,-0.99747,43.257,0.99757,12.165,0.014153,2279856,0,0.85827,0.48061,0.56615,0.37042,0.052113,0.058069
24.741,11096,39.907,-0.9972,41.713,0.9973,12.142,0.01428,2206390,0,0.81769,0.48284,0.57587,0.37266,0.05211,0.058061
24.791,11098,38.303,-0.99688,40.174,0.99698,12.119,0.014659,2135741,0,0.78163,0.48507,0.58747,0.37491,0.052106,0.058054
24.841,11100,36.699,-0.99664,38.641,0.99675,12.095,0.014661,2061755,0,0.74074,0.48751,0.59739,0.37736,0.052103,0.058046
24.891,11101,35.096,-0.99614,37.114,0.99626,12.071,0.0157,1998852,0,0.71402,0.48968,0.61263,0.37954,0.0521,0.05804
24.941,11103,33.494,-0.99567,35.594,0.99581,12.045,0.016546,1934782,0,0.68341,0.49198,0.62581,0.38185,0.052098,0.058035
24.991,11105,31.893,-0.9953,34.082,0.99544,12.018,0.017012,1867498,0,0.64726,0.49451,0.63617,0.38438,0.052095,0.058029
25.041,11106,30.292,-0.99466,32.579,0.99483,11.99,0.018312,1810083,0,0.61666,0.49675,0.64514,0.38664,0.052093,0.058024
25.091,11108,28.692,-0.99452,31.085,0.99469,11.96,0.017893,1734654,0,0.57045,0.49985,0.6498,0.38974,0.05209,0.058017
25.141,11109,27.093,-0.99441,29.604,0.99457,11.932,0.017402,1658593,0,0.52456,0.50315,0.65357,0.39306,0.052087,0.058011
25.191,11111,25.493,-0.99406,28.135,0.99422,11.904,0.017706,1592365,0,0.48442,0.50619,0.65478,0.3961,0.052085,0.058006
25.241,11112,23.894,-0.9938,26.682,0.99395,11.875,0.017726,1525420,0,0.44392,0.50943,0.65386,0.39935,0.052082,0.058001
25.291,11113,22.296,-0.99363,25.248,0.99378,11.847,0.017472,1459259,0,0.40396,0.51282,0.65016,0.40275,0.05208,0.057997
25.341,11114,20.697,-0.99328,23.834,0.99344,11.819,0.017785,1402504,0,0.36702,0.51589,0.63946,0.40582,0.052078,0.057993
25.391,11115,19.1,-0.99296,22.446,0.99312,11.79,0.017993,1344875,0,0.32963,0.51918,0.62459,0.40911,0.052077,0.057989
25.441,11116,17.502,-0.993,21.087,0.99315,11.762,0.017158,1270781,0,0.28941,0.52368,0.61417,0.41362,0.052075,0.057985
25.491,11117,15.905,-0.99283,19.765,0.99298,11.734,0.016959,1207743,0,0.25266,0.52778,0.59362,0.41773,0.052073,0.057981
25.541,11118,14.308,-0.9921,18.487,0.99227,11.706,0.018318,1172902,0,0.22087,0.53017,0.5502,0.42012,0.052072,0.057979
25.591,11118,12.713,-0.99184,17.261,0.99201,11.676,0.01838,1117351,0,0.18716,0.53418,0.51373,0.42413,0.052071,0.057976
25.641,11119,11.117,-0.99135,16.101,0.99153,11.646,0.019085,1075000,0,0.15636,0.53741,0.46367,0.42737,0.05207,0.057974
25.691,11119,9.523,-0.99098,15.02,0.99117,11.615,0.01946,1029123,0,0.12704,0.54111,0.41106,0.43107,0.052069,0.057972
25.741,11120,7.9279,-0.99588,14.039,0.9959,11.587,0.0065336,1012771,0,0.10197,0.54247,0.34067,0.43243,0.052068,0.057971
25.791,11120,6.3259,-0.9958,13.192,0.99582,11.576,0.0063837,985374,0,0.078346,0.54483,0.2765,0.43479,0.052068,0.057969
25.841,11120,4.724,-0.99581,12.494,0.99583,11.566,0.0060459,950536,0,0.057132,0.54796,0.21668,0.43792,0.052067,0.057968
25.891,11121,3.122,-0.99576,11.971,0.99578,11.557,0.0059044,927754,0,0.039665,0.55008,0.15791,0.44005,0.052067,0.057967
25.941,11121,1.5202,-0.99562,11.647,0.99564,11.547,0.0060229,920705,0,0.026036,0.55075,0.10525,0.44072,0.052066,0.057967
25.991,11121,-0.081357,-0.99556,11.538,0.99558,11.537,0.0059907,907979,0,0.015294,0.55198,0.06357,0.44195,0.052066,0.057966
# Event APOGEE occurred at t=26.041 seconds
26.041,11121,-1.6828,-0.99543,11.65,0.99545,11.528,0.0061457,906895,0,0.0079105,0.55209,0.032959,0.44206,0.052066,0.057966
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=26.042 seconds
26.095,11121,-3.3992,-0.99121,18.471,0.99372,11.41,0.070721,907102,0,17.016,NaN,NaN,NaN,NaN,NaN
26.147,11120,-5.0353,-0.98478,18.654,0.98735,11.292,0.071236,916057,0,17.354,NaN,NaN,NaN,NaN,NaN
26.199,11120,-6.671,-0.97779,19.258,0.98063,11.167,0.074528,945737,0,18.497,NaN,NaN,NaN,NaN,NaN
26.251,11120,-8.3067,-0.97097,19.443,0.97378,11.043,0.073926,954849,0,18.855,NaN,NaN,NaN,NaN,NaN
26.304,11119,-9.9416,-0.96281,20.335,0.96601,10.909,0.078575,998656,0,20.624,NaN,NaN,NaN,NaN,NaN
26.357,11119,-11.576,-0.95457,20.969,0.95797,10.771,0.080587,1029783,0,21.93,NaN,NaN,NaN,NaN,NaN
26.411,11118,-13.21,-0.94499,21.982,0.94885,10.624,0.085507,1079556,0,24.101,NaN,NaN,NaN,NaN,NaN
26.465,11117,-14.843,-0.93531,22.782,0.93944,10.47,0.088021,1118872,0,25.888,NaN,NaN,NaN,NaN,NaN
26.52,11116,-16.476,-0.92445,23.785,0.92902,10.307,0.092016,1168165,0,28.218,NaN,NaN,NaN,NaN,NaN
26.576,11115,-18.107,-0.91223,24.991,0.91745,10.133,0.09775,1227408,0,31.153,NaN,NaN,NaN,NaN,NaN
26.632,11114,-19.737,-0.90059,25.825,0.90601,9.9534,0.09898,1268384,0,33.267,NaN,NaN,NaN,NaN,NaN
26.689,11113,-21.367,-0.88693,27.013,0.89297,9.7629,0.10371,1326811,0,36.401,NaN,NaN,NaN,NaN,NaN
26.747,11112,-22.995,-0.8731,28.059,0.87954,9.5647,0.10622,1378202,0,39.275,NaN,NaN,NaN,NaN,NaN
26.806,11110,-24.624,-0.86053,28.695,0.86662,9.3707,0.10252,1409501,0,41.078,NaN,NaN,NaN,NaN,NaN
26.866,11109,-26.252,-0.84567,29.693,0.85186,9.1732,0.10256,1458579,0,43.987,NaN,NaN,NaN,NaN,NaN
26.927,11107,-27.879,-0.82802,31.076,0.83498,8.9619,0.10757,1526571,0,48.182,NaN,NaN,NaN,NaN,NaN
26.989,11105,-29.504,-0.80939,32.469,0.81717,8.7361,0.11248,1595049,0,52.6,NaN,NaN,NaN,NaN,NaN
27.053,11104,-31.127,-0.79002,33.831,0.79857,8.4966,0.11658,1662023,0,57.108,NaN,NaN,NaN,NaN,NaN
27.118,11101,-32.748,-0.76997,35.155,0.77921,8.2448,0.11959,1727204,0,61.673,NaN,NaN,NaN,NaN,NaN
27.185,11099,-34.367,-0.74942,36.424,0.75912,7.9835,0.12092,1789640,0,66.209,NaN,NaN,NaN,NaN,NaN
27.255,11097,-35.986,-0.72826,37.66,0.7382,7.7152,0.12074,1850476,0,70.783,NaN,NaN,NaN,NaN,NaN
27.326,11094,-37.603,-0.70628,38.894,0.71632,7.4416,0.11949,1911232,0,75.503,NaN,NaN,NaN,NaN,NaN
27.399,11091,-39.218,-0.68223,40.287,0.69292,7.1545,0.12127,1979816,0,81.015,NaN,NaN,NaN,NaN,NaN
27.476,11088,-40.83,-0.65705,41.704,0.66849,6.8522,0.12316,2049641,0,86.825,NaN,NaN,NaN,NaN,NaN
27.555,11085,-42.44,-0.63082,43.134,0.64307,6.5336,0.12491,2120089,0,92.889,NaN,NaN,NaN,NaN,NaN
27.638,11081,-44.041,-0.60178,44.776,0.61633,6.1793,0.13312,2201016,0,100.11,NaN,NaN,NaN,NaN,NaN
27.724,11077,-45.639,-0.57401,46.166,0.58924,5.8087,0.13312,2269573,0,106.43,NaN,NaN,NaN,NaN,NaN
27.815,11073,-47.233,-0.54515,47.576,0.56117,5.4195,0.13315,2339129,0,113.05,NaN,NaN,NaN,NaN,NaN
27.911,11069,-48.824,-0.51617,48.905,0.53209,5.0213,0.12917,2404774,0,119.47,NaN,NaN,NaN,NaN,NaN
28.012,11064,-50.408,-0.4848,50.384,0.50208,4.5946,0.13057,2477806,0,126.83,NaN,NaN,NaN,NaN,NaN
28.12,11058,-51.981,-0.45205,51.907,0.47147,4.1287,0.13393,2553057,0,134.63,NaN,NaN,NaN,NaN,NaN
28.237,11052,-53.553,-0.42085,53.202,0.43921,3.6593,0.12566,2617196,0,141.46,NaN,NaN,NaN,NaN,NaN
28.362,11045,-55.119,-0.38775,54.591,0.40606,3.1722,0.12057,2685982,0,148.98,NaN,NaN,NaN,NaN,NaN
28.499,11037,-56.676,-0.35319,56.03,0.37223,2.6543,0.11752,2757302,0,156.97,NaN,NaN,NaN,NaN,NaN
28.65,11029,-58.222,-0.31795,57.455,0.33742,2.1051,0.11297,2828037,0,165.1,NaN,NaN,NaN,NaN,NaN
28.82,11019,-59.761,-0.28242,58.834,0.30092,1.5389,0.10387,2896613,0,173.17,NaN,NaN,NaN,NaN,NaN
29.013,11007,-61.288,-0.24556,60.251,0.26376,0.9401,0.096282,2967174,0,181.67,NaN,NaN,NaN,NaN,NaN
29.236,10993,-62.776,-0.20693,61.742,0.22817,0.24904,0.096154,3041593,0,190.85,NaN,NaN,NaN,NaN,NaN
29.505,10976,-64.241,-0.16938,63.11,0.18966,0.48957,0.085346,3110207,0,199.49,NaN,NaN,NaN,NaN,NaN
29.836,10955,-65.63,-0.13047,64.529,0.15413,1.3629,0.082064,3181678,0,208.69,NaN,NaN,NaN,NaN,NaN
30.284,10925,-66.979,-0.093623,65.799,0.11383,2.296,0.064753,3246210,0,217.14,NaN,NaN,NaN,NaN,NaN
30.768,10892,-67.806,-0.053163,67.29,0.10539,3.7124,0.090993,3322537,0,227.32,NaN,NaN,NaN,NaN,NaN
31.268,10858,-68.315,-0.031636,67.909,0.061612,4.5629,0.05287,3356108,0,231.77,NaN,NaN,NaN,NaN,NaN
31.768,10824,-68.579,-0.016417,68.386,0.047324,5.2769,0.044386,3382880,0,235.31,NaN,NaN,NaN,NaN,NaN
32.268,10790,-68.705,-0.0077992,68.641,0.042643,5.9513,0.041924,3398745,0,237.35,NaN,NaN,NaN,NaN,NaN
32.768,10755,-68.766,-0.0037878,68.714,0.016878,6.2159,0.016447,3405586,0,238.13,NaN,NaN,NaN,NaN,NaN
33.268,10721,-68.775,-5.7435e-4,68.796,0.029507,6.6905,0.029502,3412872,0,238.97,NaN,NaN,NaN,NaN,NaN
33.768,10687,-68.757,0.0011343,68.826,0.03816,7.3041,0.038144,3417562,0,239.45,NaN,NaN,NaN,NaN,NaN
34.268,10652,-68.739,0.0011174,68.764,0.014132,7.5308,0.014088,3417711,0,239.3,NaN,NaN,NaN,NaN,NaN
34.768,10618,-68.712,0.0016552,68.74,0.0061664,7.6263,0.0059401,3419751,0,239.41,NaN,NaN,NaN,NaN,NaN
35.268,10584,-68.68,0.0020032,68.712,0.0020673,7.6181,5.1055e-4,3421574,0,239.48,NaN,NaN,NaN,NaN,NaN
35.768,10549,-68.644,0.0022239,68.681,0.006878,7.5134,0.0065085,3423243,0,239.54,NaN,NaN,NaN,NaN,NaN
36.268,10515,-68.607,0.0023308,68.646,0.0081185,7.6385,0.0077768,3424703,0,239.57,NaN,NaN,NaN,NaN,NaN
36.768,10481,-68.566,0.0025268,68.619,0.019226,7.9451,0.01906,3426552,0,239.66,NaN,NaN,NaN,NaN,NaN
37.268,10446,-68.527,0.0023921,68.573,0.014846,7.7094,0.014652,3427427,0,239.61,NaN,NaN,NaN,NaN,NaN
37.768,10412,-68.49,0.0023296,68.53,0.0089952,7.5697,0.0086883,3428450,0,239.58,NaN,NaN,NaN,NaN,NaN
38.268,10378,-68.448,0.0026115,68.51,0.024277,7.1814,0.024137,3430603,0,239.7,NaN,NaN,NaN,NaN,NaN
38.768,10344,-68.412,0.0022246,68.448,0.0033998,7.14,0.002571,3430696,0,239.54,NaN,NaN,NaN,NaN,NaN
39.268,10309,-68.375,0.0022982,68.412,0.0026659,7.1183,0.0013511,3432053,0,239.56,NaN,NaN,NaN,NaN,NaN
39.768,10275,-68.337,0.0023482,68.376,0.0057418,7.034,0.0052396,3433391,0,239.58,NaN,NaN,NaN,NaN,NaN
40.268,10241,-68.299,0.0023925,68.341,0.0096126,7.1838,0.0093101,3434753,0,239.6,NaN,NaN,NaN,NaN,NaN
40.768,10207,-68.26,0.0023933,68.303,0.010819,7.3535,0.010551,3436000,0,239.6,NaN,NaN,NaN,NaN,NaN
41.268,10173,-68.223,0.0023597,68.263,0.0090031,7.4933,0.0086883,3437131,0,239.59,NaN,NaN,NaN,NaN,NaN
41.768,10139,-68.182,0.0025005,68.235,0.01908,7.7976,0.018916,3438838,0,239.66,NaN,NaN,NaN,NaN,NaN
42.268,10105,-68.146,0.0022749,68.184,0.0077459,7.9167,0.0074043,3439398,0,239.57,NaN,NaN,NaN,NaN,NaN
42.768,10071,-68.107,0.0023821,68.153,0.014933,7.6795,0.014742,3440925,0,239.61,NaN,NaN,NaN,NaN,NaN
43.268,10037,-68.071,0.0022582,68.108,0.0040615,7.6252,0.0033759,3441749,0,239.56,NaN,NaN,NaN,NaN,NaN
43.768,10003,-68.034,0.0022879,68.071,0.0032376,7.5884,0.0022907,3443002,0,239.57,NaN,NaN,NaN,NaN,NaN
44.268,9968.6,-67.997,0.0023226,68.036,0.0067022,7.6895,0.0062869,3444297,0,239.58,NaN,NaN,NaN,NaN,NaN
44.768,9934.6,-67.96,0.0023021,67.997,0.0034762,7.7314,0.0026047,3445430,0,239.57,NaN,NaN,NaN,NaN,NaN
45.268,9900.6,-67.922,0.002343,67.963,0.0096617,7.5806,0.0093733,3446762,0,239.59,NaN,NaN,NaN,NaN,NaN
45.768,9866.6,-67.884,0.002354,67.927,0.012506,7.383,0.012283,3448028,0,239.6,NaN,NaN,NaN,NaN,NaN
46.268,9832.7,-67.846,0.0023818,67.893,0.015985,7.6373,0.015806,3449363,0,239.62,NaN,NaN,NaN,NaN,NaN
46.768,9798.8,-67.81,0.0022202,67.847,0.0047361,7.7046,0.0041834,3450065,0,239.56,NaN,NaN,NaN,NaN,NaN
47.268,9764.9,-67.774,0.0022747,67.813,0.0087784,7.5682,0.0084785,3451384,0,239.58,NaN,NaN,NaN,NaN,NaN
47.768,9731,-67.737,0.0022604,67.775,0.0063196,7.6631,0.0059015,3452514,0,239.57,NaN,NaN,NaN,NaN,NaN
48.268,9697.2,-67.701,0.0022564,67.738,0.0046635,7.7288,0.0040812,3453668,0,239.57,NaN,NaN,NaN,NaN,NaN
48.768,9663.3,-67.663,0.0023532,67.708,0.014228,7.9545,0.014032,3455168,0,239.61,NaN,NaN,NaN,NaN,NaN
49.268,9629.5,-67.627,0.0022516,67.666,0.0098827,7.7997,0.0096228,3456063,0,239.58,NaN,NaN,NaN,NaN,NaN
49.768,9595.7,-67.589,0.002355,67.637,0.01756,7.5198,0.017401,3457589,0,239.63,NaN,NaN,NaN,NaN,NaN
50.268,9561.9,-67.552,0.0023076,67.599,0.017838,7.2352,0.017688,3458683,0,239.62,NaN,NaN,NaN,NaN,NaN
50.768,9528.1,-67.517,0.0021437,67.553,0.0066178,7.336,0.006261,3459336,0,239.55,NaN,NaN,NaN,NaN,NaN
51.268,9494.4,-67.482,0.0021762,67.518,0.0047212,7.4034,0.0041897,3460531,0,239.55,NaN,NaN,NaN,NaN,NaN
51.768,9460.7,-67.446,0.0022887,67.489,0.013875,7.6235,0.013684,3462032,0,239.6,NaN,NaN,NaN,NaN,NaN
52.268,9426.9,-67.409,0.0022569,67.452,0.013286,7.8341,0.013092,3463126,0,239.59,NaN,NaN,NaN,NaN,NaN
52.768,9393.3,-67.373,0.0022564,67.412,0.0087805,7.6976,0.0084857,3464305,0,239.58,NaN,NaN,NaN,NaN,NaN
53.268,9359.6,-67.335,0.0023864,67.381,0.015515,7.451,0.01533,3465941,0,239.63,NaN,NaN,NaN,NaN,NaN
53.768,9325.9,-67.298,0.0023008,67.338,0.0098496,7.2969,0.0095771,3466941,0,239.6,NaN,NaN,NaN,NaN,NaN
54.268,9292.3,-67.261,0.002303,67.299,0.0069562,7.4025,0.0065639,3468176,0,239.59,NaN,NaN,NaN,NaN,NaN
54.768,9258.7,-67.223,0.0023375,67.263,0.0088196,7.5393,0.0085042,3469523,0,239.6,NaN,NaN,NaN,NaN,NaN
55.268,9225.1,-67.186,0.0023039,67.223,0.0035893,7.5836,0.0027524,3470664,0,239.59,NaN,NaN,NaN,NaN,NaN
55.768,9191.5,-67.149,0.0023182,67.186,0.0039965,7.636,0.0032555,3471947,0,239.59,NaN,NaN,NaN,NaN,NaN
56.268,9157.9,-67.111,0.0023349,67.15,0.0069531,7.5306,0.0065494,3473252,0,239.6,NaN,NaN,NaN,NaN,NaN
56.768,9124.4,-67.067,0.0027473,67.141,0.030082,7.0487,0.029957,3475949,0,239.8,NaN,NaN,NaN,NaN,NaN
57.268,9090.8,-67.032,0.0021589,67.071,0.011275,7.2267,0.011066,3475521,0,239.57,NaN,NaN,NaN,NaN,NaN
57.768,9057.3,-66.997,0.0021687,67.032,0.0034847,7.1828,0.0027276,3476673,0,239.56,NaN,NaN,NaN,NaN,NaN
58.268,9023.8,-66.961,0.0022384,66.998,0.0049447,7.2538,0.0044091,3478047,0,239.58,NaN,NaN,NaN,NaN,NaN
58.768,8990.4,-66.924,0.0022923,66.964,0.0093154,7.1085,0.009029,3479425,0,239.6,NaN,NaN,NaN,NaN,NaN
59.268,8956.9,-66.888,0.002266,66.925,0.0058724,7.1957,0.0054175,3480573,0,239.59,NaN,NaN,NaN,NaN,NaN
59.768,8923.5,-66.851,0.0023135,66.892,0.01066,7.3631,0.010406,3481956,0,239.61,NaN,NaN,NaN,NaN,NaN
60.268,8890.1,-66.814,0.0022671,66.853,0.0076996,7.4814,0.0073583,3483052,0,239.59,NaN,NaN,NaN,NaN,NaN
60.768,8856.7,-66.774,0.0024785,66.83,0.021815,7.8301,0.021674,3485010,0,239.7,NaN,NaN,NaN,NaN,NaN
61.268,8823.3,-66.74,0.0021354,66.774,0.0022305,7.8197,6.444e-4,3485213,0,239.56,NaN,NaN,NaN,NaN,NaN
61.768,8789.9,-66.701,0.0024497,66.757,0.023033,7.4513,0.022903,3487425,0,239.69,NaN,NaN,NaN,NaN,NaN
62.268,8756.6,-66.666,0.0021339,66.703,0.0093216,7.3053,0.0090741,3487711,0,239.57,NaN,NaN,NaN,NaN,NaN
62.768,8723.3,-66.63,0.0022553,66.673,0.015133,7.0646,0.014964,3489255,0,239.61,NaN,NaN,NaN,NaN,NaN
63.268,8690,-66.595,0.002177,66.633,0.0089733,7.2046,0.0087052,3490208,0,239.58,NaN,NaN,NaN,NaN,NaN
63.768,8656.7,-66.56,0.0021782,66.596,0.0060437,7.114,0.0056375,3491370,0,239.57,NaN,NaN,NaN,NaN,NaN
64.268,8623.4,-66.524,0.0021993,66.561,0.0054113,7.1935,0.0049442,3492606,0,239.58,NaN,NaN,NaN,NaN,NaN
64.768,8590.1,-66.489,0.0022085,66.525,0.0053012,7.271,0.0048192,3493819,0,239.58,NaN,NaN,NaN,NaN,NaN
65.268,8556.9,-66.452,0.0023181,66.497,0.015429,7.5164,0.015254,3495392,0,239.64,NaN,NaN,NaN,NaN,NaN
65.768,8523.7,-66.417,0.0021791,66.454,0.0082607,7.6446,0.0079681,3496189,0,239.58,NaN,NaN,NaN,NaN,NaN
