# Simulation 1 (Up to date)
# 1002 data points written for 4 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
111.31,5518.3,-62.756,0.0020663
111.81,5486.9,-62.727,0.0017884
112.31,5455.6,-62.697,0.0018583
112.81,5424.2,-62.667,0.001897
113.31,5392.9,-62.636,0.0019148
113.81,5361.6,-62.605,0.0018997
114.31,5330.3,-62.574,0.00194
114.81,5299,-62.543,0.0019285
115.31,5267.7,-62.513,0.001893
115.81,5236.5,-62.482,0.0018926
116.31,5205.3,-62.452,0.0018941
116.81,5174,-62.42,0.0019759
117.31,5142.8,-62.39,0.0018534
117.81,5111.6,-62.36,0.0018801
118.31,5080.5,-62.329,0.0018842
118.81,5049.3,-62.296,0.0020996
119.31,5018.2,-62.265,0.0018857
119.81,4987.1,-62.237,0.0017861
120.31,4955.9,-62.208,0.0018015
120.81,4924.8,-62.179,0.0018064
121.31,4893.8,-62.148,0.001887
121.81,4862.7,-62.118,0.0019083
122.31,4831.6,-62.089,0.0017978
122.81,4800.6,-62.059,0.0018508
123.31,4769.6,-62.029,0.0018434
123.81,4738.6,-62,0.0017985
124.31,4707.6,-61.971,0.0018224
124.81,4676.6,-61.939,0.0019589
125.31,4645.6,-61.911,0.00178
125.81,4614.7,-61.882,0.0017728
126.31,4583.8,-61.854,0.0017825
126.81,4552.8,-61.825,0.0018007
127.31,4521.9,-61.796,0.0017889
127.81,4491,-61.765,0.0019417
128.31,4460.2,-61.734,0.0018901
128.81,4429.3,-61.704,0.0018653
129.31,4398.5,-61.674,0.0018653
129.81,4367.6,-61.644,0.0018667
130.31,4336.8,-61.613,0.0019174
130.81,4306,-61.583,0.0018715
131.31,4275.2,-61.552,0.0019309
131.81,4244.5,-61.522,0.0018552
132.31,4213.7,-61.49,0.0019972
132.81,4183,-61.461,0.0018415
133.31,4152.3,-61.422,0.0024005
133.81,4121.6,-61.393,0.0018199
134.31,4090.9,-61.363,0.0018695
134.81,4060.2,-61.337,0.0015699
135.31,4029.5,-61.31,0.0016861
135.81,3998.9,-61.278,0.0020015
136.31,3968.3,-61.251,0.0017074
136.81,3937.6,-61.222,0.0018034
137.31,3907,-61.193,0.0017604
137.81,3876.4,-61.163,0.0018932
138.31,3845.9,-61.134,0.0017652
138.81,3815.3,-61.105,0.0018289
139.31,3784.8,-61.075,0.0018725
139.81,3754.2,-61.046,0.0018161
140.31,3723.7,-61.015,0.0018752
140.81,3693.2,-60.988,0.0017276
141.31,3662.7,-60.96,0.0017395
141.81,3632.3,-60.931,0.0017645
142.31,3601.8,-60.902,0.0018071
142.81,3571.4,-60.87,0.0019738
143.31,3540.9,-60.841,0.0018436
143.81,3510.5,-60.812,0.0017743
144.31,3480.1,-60.786,0.0016427
144.81,3449.7,-60.755,0.001895
145.31,3419.4,-60.729,0.001624
145.81,3389,-60.702,0.0017141
146.31,3358.7,-60.674,0.0017384
146.81,3328.3,-60.644,0.0018462
147.31,3298,-60.617,0.0016795
147.81,3267.7,-60.589,0.0017322
148.31,3237.4,-60.561,0.0017162
148.81,3207.2,-60.533,0.001744
149.31,3176.9,-60.503,0.0019069
149.81,3146.6,-60.477,0.0016177
150.31,3116.4,-60.448,0.0017959
150.81,3086.2,-60.421,0.0016663
151.31,3056,-60.393,0.0017455
151.81,3025.8,-60.367,0.0016364
152.31,2995.6,-60.339,0.001705
152.81,2965.5,-60.308,0.0019149
153.31,2935.3,-60.283,0.0015622
153.81,2905.2,-60.257,0.0016628
154.31,2875.1,-60.227,0.0018128
154.81,2845,-60.201,0.0016345
155.31,2814.9,-60.172,0.0018265
155.81,2784.8,-60.143,0.0017704
156.31,2754.7,-60.115,0.0017427
156.81,2724.7,-60.086,0.0018061
157.31,2694.6,-60.058,0.001732
157.81,2664.6,-60.027,0.001941
158.31,2634.6,-59.999,0.00174
158.81,2604.6,-59.972,0.0016572
159.31,2574.6,-59.945,0.0017189
159.81,2544.7,-59.916,0.001801
160.31,2514.7,-59.888,0.0017064
160.81,2484.8,-59.858,0.0018805
161.31,2454.9,-59.83,0.0017397
161.81,2425,-59.799,0.0019356
162.31,2395.1,-59.774,0.001574
162.81,2365.2,-59.746,0.0017451
163.31,2335.3,-59.719,0.0016329
163.81,2305.5,-59.686,0.0020506
164.31,2275.6,-59.661,0.0015742
164.81,2245.8,-59.635,0.0015937
165.31,2216,-59.609,0.0016389
165.81,2186.2,-59.582,0.0017032
166.31,2156.4,-59.555,0.0016792
166.81,2126.6,-59.527,0.0016917
167.31,2096.9,-59.5,0.0016891
167.81,2067.1,-59.473,0.0017084
168.31,2037.4,-59.439,0.0020902
168.81,2007.7,-59.414,0.0015474
169.31,1978,-59.389,0.0015362
169.81,1948.3,-59.362,0.0017047
170.31,1918.6,-59.335,0.0016641
170.81,1889,-59.309,0.0016278
171.31,1859.3,-59.282,0.0016615
171.81,1829.7,-59.256,0.0016259
172.31,1800.1,-59.229,0.0016928
172.81,1770.5,-59.202,0.0016544
173.31,1740.9,-59.176,0.0016344
173.81,1711.3,-59.15,0.001634
174.31,1681.7,-59.123,0.0016485
174.81,1652.2,-59.096,0.0016795
175.31,1622.6,-59.07,0.0016105
175.81,1593.1,-59.042,0.0017597
176.31,1563.6,-59.016,0.0016013
176.81,1534.1,-58.987,0.0018084
177.31,1504.6,-58.964,0.0014621
177.81,1475.1,-58.939,0.001555
178.31,1445.7,-58.911,0.0017377
178.81,1416.2,-58.886,0.0015135
179.31,1386.8,-58.859,0.0017011
179.81,1357.3,-58.833,0.0015885
180.31,1327.9,-58.808,0.0015707
180.81,1298.5,-58.783,0.0015851
181.31,1269.1,-58.758,0.0015299
181.81,1239.8,-58.733,0.0015701
182.31,1210.4,-58.706,0.0016893
182.81,1181.1,-58.679,0.0016343
183.31,1151.7,-58.653,0.0016428
183.81,1122.4,-58.626,0.0016579
184.31,1093.1,-58.598,0.0017301
184.81,1063.8,-58.572,0.0016345
185.31,1034.5,-58.545,0.0016986
185.81,1005.3,-58.518,0.001676
186.31,976.02,-58.491,0.001642
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=186.31 seconds
186.81,946.78,-58.465,0.0016476
186.82,946.27,-56.824,5.7648
186.83,945.74,-55.184,5.3907
186.84,945.19,-53.544,5.0271
186.85,944.62,-51.903,4.6743
186.86,944.02,-50.263,4.3321
186.88,943.39,-48.622,4.0005
186.89,942.72,-46.982,3.6796
186.91,942.03,-45.342,3.3693
186.92,941.29,-43.701,3.0697
186.94,940.5,-42.061,2.7807
186.96,939.66,-40.42,2.5024
186.98,938.76,-38.78,2.2347
187.01,937.78,-37.139,1.9776
187.04,936.71,-35.499,1.7312
187.07,935.53,-33.859,1.4955
187.11,934.2,-32.218,1.2703
187.16,932.68,-30.578,1.0559
187.22,930.9,-28.938,0.85206
187.3,928.73,-27.297,0.6589
187.41,925.89,-25.657,0.4764
187.57,921.75,-24.022,0.30477
187.92,913.76,-22.424,0.14435
188.42,902.54,-22.47,-0.0028966
188.92,891.31,-22.443,0.0017036
189.42,880.09,-22.441,1.0458e-4
189.92,868.87,-22.441,2.797e-5
190.42,857.65,-22.429,7.481e-4
190.92,846.43,-22.439,-6.414e-4
191.42,835.22,-22.416,0.0014419
191.92,824.01,-22.435,-0.0011842
192.42,812.79,-22.418,0.0010475
192.92,801.58,-22.423,-2.9553e-4
193.42,790.37,-22.415,4.9708e-4
193.92,779.17,-22.413,1.0854e-4
194.42,767.96,-22.403,6.2956e-4
194.92,756.76,-22.393,6.3704e-4
195.42,745.57,-22.383,6.049e-4
195.92,734.37,-22.404,-0.0013069
196.42,723.18,-22.347,0.0035745
196.92,712.01,-22.364,-0.001067
197.42,700.82,-22.377,-8.4262e-4
197.92,689.63,-22.383,-3.5829e-4
198.42,678.44,-22.376,4.4144e-4
198.92,667.25,-22.374,1.2648e-4
199.42,656.07,-22.37,2.3493e-4
199.92,644.89,-22.356,8.5731e-4
200.42,633.71,-22.35,3.7793e-4
200.92,622.53,-22.363,-7.9537e-4
201.42,611.35,-22.353,6.377e-4
201.92,600.18,-22.343,6.0196e-4
202.42,589.01,-22.332,6.9096e-4
202.92,577.84,-22.349,-0.0010805
203.42,566.67,-22.337,7.9988e-4
203.92,555.51,-22.288,0.0030086
204.42,544.36,-22.334,-0.0028401
204.92,533.19,-22.315,0.0011421
205.42,522.03,-22.329,-8.568e-4
205.92,510.87,-22.311,0.0011386
206.42,499.72,-22.316,-2.9321e-4
206.92,488.56,-22.313,1.814e-4
207.42,477.4,-22.302,6.8422e-4
207.92,466.25,-22.304,-1.3222e-4
208.42,455.1,-22.301,1.8473e-4
208.92,443.96,-22.276,0.0015186
209.42,432.81,-22.298,-0.0013193
209.92,421.68,-22.257,0.0025219
210.42,410.54,-22.301,-0.0027423
210.92,399.39,-22.262,0.0024373
211.42,388.27,-22.24,0.0013411
211.92,377.14,-22.279,-0.0023859
212.42,366.01,-22.253,0.0016266
212.92,354.89,-22.232,0.0013031
213.42,343.76,-22.278,-0.0028742
213.92,332.63,-22.233,0.0027777
214.42,321.5,-22.268,-0.0021484
214.92,310.38,-22.22,0.0029986
215.42,299.26,-22.262,-0.0026542
215.92,288.14,-22.24,0.0014133
216.42,277.02,-22.244,-2.9486e-4
216.92,265.9,-22.234,6.4716e-4
217.42,254.78,-22.228,3.8712e-4
217.92,243.68,-22.197,0.0019355
218.42,232.57,-22.242,-0.0028217
218.92,221.45,-22.2,0.0025841
219.42,210.35,-22.229,-0.0017687
219.92,199.24,-22.207,0.0013559
220.42,188.13,-22.216,-5.3616e-4
220.92,177.03,-22.198,0.0010914
221.42,165.93,-22.201,-2.0684e-4
221.92,154.83,-22.2,6.7243e-5
222.42,143.73,-22.197,1.8998e-4
222.92,132.64,-22.177,0.0012281
223.42,121.54,-22.194,-0.0010154
223.92,110.45,-22.184,5.9327e-4
224.42,99.357,-22.183,9.2813e-5
224.92,88.267,-22.178,3.1267e-4
225.42,77.18,-22.171,3.9881e-4
225.92,66.095,-22.168,1.9642e-4
226.42,55.014,-22.156,7.7312e-4
226.92,43.944,-22.124,0.001973
227.42,32.869,-22.177,-0.0032971
227.92,21.788,-22.146,0.0019081
228.42,10.714,-22.148,-1.0189e-4
# Event GROUND_HIT occurred at t=228.92 seconds
# Event SIMULATION_END occurred at t=228.92 seconds
228.92,-0.36054,-22.151,-1.9163e-4
